test_type,r,n,o,average
-s,0.25,2,16,1.0055283
-s,0.25,4,16,0.9980108000000001
-s,0.25,8,16,1.11378
-s,0.25,16,16,0.7582713999999999
-s,0.25,32,16,0.7348381
-s,0.25,64,16,0.7221144
-s,0.25,128,16,0.8270377
-s,0.25,256,16,0.855593
-s,0.25,512,16,0.9161853000000001
-s,0.25,1024,16,0.8502317000000001
-s,0.25,2048,16,0.9455612000000002
-s,0.25,4096,16,1.6753810000000002
-s,0.25,8192,16,1.0753382
-s,0.25,16,2,1.1170104
-s,0.25,16,4,1.036218
-s,0.25,16,8,1.1816286
-s,0.25,16,16,0.9713065999999999
-s,0.25,16,32,1.0487845999999998
-s,0.25,16,64,1.001783
-s,0.25,16,128,0.8729309000000001
-s,0.25,16,256,0.5594110999999999
-s,0.25,16,512,0.2253615
-s,0.25,16,1024,0.139633
-s,0.25,16,2048,0.1309764
-s,0.25,16,4096,0.12981499999999999
-s,0.25,16,8192,0.12313030000000003
-s,0.5,2,16,1.1493740000000001
-s,0.5,4,16,1.1006564
-s,0.5,8,16,0.9611123000000001
-s,0.5,16,16,0.7714084000000001
-s,0.5,32,16,0.6944356
-s,0.5,64,16,0.8436121
-s,0.5,128,16,0.8838089
-s,0.5,256,16,0.8440814
-s,0.5,512,16,0.8790248999999999
-s,0.5,1024,16,0.8682736999999999
-s,0.5,2048,16,0.9181174999999998
-s,0.5,4096,16,1.666757
-s,0.5,8192,16,1.0632370000000002
-s,0.5,16,2,1.0545598999999999
-s,0.5,16,4,1.1678638000000001
-s,0.5,16,8,1.0264731
-s,0.5,16,16,1.1003881
-s,0.5,16,32,1.0634435
-s,0.5,16,64,0.9656566
-s,0.5,16,128,0.7688776
-s,0.5,16,256,0.4307232999999999
-s,0.5,16,512,0.18064429999999998
-s,0.5,16,1024,0.1368505
-s,0.5,16,2048,0.11451769999999999
-s,0.5,16,4096,0.1085441
-s,0.5,16,8192,0.1057679
-s,0.75,2,16,1.2130670000000001
-s,0.75,4,16,1.1862306999999999
-s,0.75,8,16,1.0222285
-s,0.75,16,16,0.9060663
-s,0.75,32,16,0.941594
-s,0.75,64,16,0.978349
-s,0.75,128,16,0.9565454000000001
-s,0.75,256,16,0.9673475000000001
-s,0.75,512,16,1.0609554
-s,0.75,1024,16,1.0135692
-s,0.75,2048,16,1.0440818
-s,0.75,4096,16,1.0419756
-s,0.75,8192,16,1.0180843000000002
-s,0.75,16,2,1.0343221000000002
-s,0.75,16,4,0.9867348
-s,0.75,16,8,1.0110255999999997
-s,0.75,16,16,0.9408698999999998
-s,0.75,16,32,0.9895776000000002
-s,0.75,16,64,0.9248981000000001
-s,0.75,16,128,0.9356878
-s,0.75,16,256,0.6938028
-s,0.75,16,512,0.3839027
-s,0.75,16,1024,0.24637189999999998
-s,0.75,16,2048,0.19995020000000002
-s,0.75,16,4096,0.17690860000000003
-s,0.75,16,8192,0.16938760000000003
-h,0.25,2,16,1.264237
-h,0.25,4,16,1.964499
-h,0.25,8,16,2.881291
-h,0.25,16,16,3.8091209999999998
-h,0.25,32,16,3.908986
-h,0.25,64,16,4.122244
-h,0.25,128,16,4.247605999999999
-h,0.25,256,16,4.214645
-h,0.25,512,16,4.3135889999999995
-h,0.25,1024,16,4.105179
-h,0.25,2048,16,3.9858850000000006
-h,0.25,4096,16,2.513778
-h,0.25,8192,16,0.7849934000000001
-h,0.25,16,2,0.9952493
-h,0.25,16,4,1.0387837
-h,0.25,16,8,1.1174967
-h,0.25,16,16,1.1369059000000001
-h,0.25,16,32,1.9671669999999994
-h,0.25,16,64,3.173266
-h,0.25,16,128,4.899206
-h,0.25,16,256,7.045167999999999
-h,0.25,16,512,9.383925999999999
-h,0.25,16,1024,10.63765
-h,0.25,16,2048,11.713869999999998
-h,0.25,16,4096,12.61755
-h,0.25,16,8192,12.605340000000002
-h,0.5,2,16,1.2024969999999997
-h,0.5,4,16,1.8144559999999998
-h,0.5,8,16,2.89027
-h,0.5,16,16,3.7624680000000006
-h,0.5,32,16,3.6305970000000003
-h,0.5,64,16,3.552929
-h,0.5,128,16,3.7866850000000007
-h,0.5,256,16,3.8027430000000004
-h,0.5,512,16,3.6873020000000003
-h,0.5,1024,16,3.615247
-h,0.5,2048,16,3.5430139999999994
-h,0.5,4096,16,2.451961
-h,0.5,8192,16,0.9829761000000001
-h,0.5,16,2,1.0777161999999998
-h,0.5,16,4,1.0221073999999999
-h,0.5,16,8,1.0682934000000002
-h,0.5,16,16,1.0837764
-h,0.5,16,32,1.690016
-h,0.5,16,64,2.623892
-h,0.5,16,128,4.234782999999999
-h,0.5,16,256,6.305770999999999
-h,0.5,16,512,8.555285000000001
-h,0.5,16,1024,9.983606
-h,0.5,16,2048,10.376866000000001
-h,0.5,16,4096,11.513850000000001
-h,0.5,16,8192,11.842975
-h,0.75,2,16,1.0558127
-h,0.75,4,16,1.703201
-h,0.75,8,16,2.627693
-h,0.75,16,16,2.9203300000000003
-h,0.75,32,16,2.724631
-h,0.75,64,16,3.0538739999999995
-h,0.75,128,16,3.135872
-h,0.75,256,16,3.1093110000000004
-h,0.75,512,16,2.9329669999999997
-h,0.75,1024,16,3.087945
-h,0.75,2048,16,2.588333
-h,0.75,4096,16,1.5063842
-h,0.75,8192,16,1.147456
-h,0.75,16,2,0.9742814000000001
-h,0.75,16,4,1.0332809
-h,0.75,16,8,0.9896617000000001
-h,0.75,16,16,1.1100061
-h,0.75,16,32,1.456742
-h,0.75,16,64,2.1735440000000006
-h,0.75,16,128,3.6612720000000003
-h,0.75,16,256,5.338169000000001
-h,0.75,16,512,7.388490999999999
-h,0.75,16,1024,8.861775
-h,0.75,16,2048,9.549496
-h,0.75,16,4096,9.758638999999999
-h,0.75,16,8192,10.709098
